Time,ODEV,ODEH,ODEP,ODEIFNe,ODESTATP,ODEIRF7,ODEIRF7P,ODEIFN
0.000000e+00,8.627805e-08,1.000000e+00,1.000000e+00,2.402407e-23,1.248551e-23,6.855347e-26,5.839567e-28,3.175920e-23
1.666667e-01,1.078788e-07,1.000000e+00,1.000000e+00,7.894035e-23,7.941706e-23,7.986303e-25,1.185927e-26,6.744156e-23
3.333333e-01,1.348833e-07,1.000000e+00,1.000000e+00,1.752252e-22,2.435690e-22,3.469993e-24,7.438433e-26,1.327312e-22
5.000000e-01,1.686459e-07,1.000000e+00,1.000000e+00,3.547576e-22,5.822207e-22,1.025437e-23,2.821791e-25,2.596760e-22
6.666667e-01,2.108630e-07,9.999999e-01,9.999999e-01,7.009199e-22,1.252578e-21,2.515174e-23,8.234074e-25,5.080104e-22
8.333333e-01,2.636478e-07,9.999999e-01,9.999999e-01,1.374874e-21,2.565580e-21,5.582547e-23,2.061912e-24,9.934977e-22
1.000000e+00,3.296334e-07,9.999999e-01,9.999999e-01,2.688549e-21,5.126824e-21,1.170799e-22,4.697527e-24,1.941539e-21
1.166667e+00,4.121331e-07,9.999998e-01,9.999998e-01,5.256014e-21,1.012883e-20,2.379835e-22,1.009797e-23,3.795450e-21
1.333333e+00,5.152788e-07,9.999998e-01,9.999998e-01,1.027439e-20,1.990119e-20,4.752887e-22,2.092517e-23,7.419100e-21
1.500000e+00,6.442345e-07,9.999997e-01,9.999997e-01,2.008052e-20,3.899216e-20,9.398225e-22,4.236955e-23,1.450044e-20
1.666667e+00,8.054747e-07,9.999997e-01,9.999997e-01,3.926144e-20,7.633207e-20,1.849205e-21,8.461635e-23,2.834698e-20
1.833333e+00,1.007061e-06,9.999996e-01,9.999996e-01,7.673278e-20,1.492905e-19,3.626920e-21,1.674830e-22,5.539928e-20
2.000000e+00,1.259091e-06,9.999994e-01,9.999994e-01,1.499495e-19,2.918354e-19,7.101040e-21,3.297222e-22,1.082669e-19
2.166667e+00,1.574190e-06,9.999993e-01,9.999993e-01,2.930301e-19,5.703587e-19,1.388963e-20,6.470475e-22,2.115886e-19
2.333333e+00,1.968140e-06,9.999991e-01,9.999991e-01,5.726488e-19,1.114614e-18,2.715463e-20,1.267392e-21,4.135126e-19
2.500000e+00,2.460674e-06,9.999989e-01,9.999989e-01,1.119098e-18,2.178167e-18,5.307501e-20,2.479810e-21,8.081308e-19
2.666667e+00,3.076462e-06,9.999986e-01,9.999986e-01,2.186997e-18,4.256526e-18,1.037253e-19,4.849122e-21,1.579323e-18
2.833333e+00,3.846349e-06,9.999982e-01,9.999982e-01,4.273957e-18,8.318064e-18,2.027025e-19,9.479095e-21,3.086458e-18
3.000000e+00,4.808896e-06,9.999978e-01,9.999978e-01,8.352496e-18,1.625532e-17,3.961221e-19,1.852678e-20,6.031867e-18
3.166667e+00,6.012317e-06,9.999972e-01,9.999972e-01,1.632315e-17,3.176682e-17,7.741065e-19,3.620753e-20,1.178805e-17
3.333333e+00,7.516888e-06,9.999965e-01,9.999965e-01,3.190007e-17,6.208049e-17,1.512779e-18,7.075922e-20,2.303729e-17
3.500000e+00,9.397971e-06,9.999956e-01,9.999956e-01,6.234174e-17,1.213216e-16,2.956331e-18,1.382808e-19,4.502147e-17
3.666667e+00,1.174978e-05,9.999945e-01,9.999945e-01,1.218332e-16,2.370949e-16,5.777404e-18,2.702336e-19,8.798467e-17
3.833333e+00,1.469012e-05,9.999931e-01,9.999931e-01,2.380958e-16,4.633468e-16,1.129051e-17,5.281014e-19,1.719466e-16
4.000000e+00,1.836626e-05,9.999913e-01,9.999913e-01,4.653044e-16,9.055033e-16,2.206456e-17,1.032039e-18,3.360308e-16
4.166667e+00,2.296233e-05,9.999892e-01,9.999892e-01,9.093307e-16,1.769593e-15,4.311981e-17,2.016857e-18,6.566950e-16
4.333333e+00,2.870851e-05,9.999864e-01,9.999864e-01,1.777075e-15,3.458249e-15,8.426713e-17,3.941436e-18,1.283356e-15
